geom,intersection_lat,intersection_lon,year,st_asgeojson,biccol,pedcol,bickill,pedkill,ambiccol,pmbiccol,ampedcol,pmpedcol,ambickill,pmbickill,ampedkill,pmpedkill,street_names,bicinj,pedinj,ambicinj,pmbicinj,ampedinj,pmpedinj
POINT(-122.362687924 37.8118959065),37.8118959065,-122.362687924,2008,"{""type"":""Point"",""coordinates"":[-122.362687924,37.8118959065]}",0,1,0,1,0,0,0,1,0,0,0,1,"['HARRIET LN', 'HEALY AVE', 'NORTH GATE RD']",0,0,0,0,0,0
POINT(-122.362687924 37.8118959065),37.8118959065,-122.362687924,2010,"{""type"":""Point"",""coordinates"":[-122.362687924,37.8118959065]}",0,1,0,0,0,0,1,0,0,0,0,0,"['HARRIET LN', 'HEALY AVE', 'NORTH GATE RD']",0,1,0,0,1,0
POINT(-122.363147334 37.8119019961),37.8119019961,-122.363147334,2011,"{""type"":""Point"",""coordinates"":[-122.363147334,37.8119019961]}",0,1,0,0,0,0,0,1,0,0,0,0,"['I-80 E ON RAMP', 'I-80 EASTBOUND']",0,1,0,0,0,1
POINT(-122.363742766 37.8235744254),37.8235744254,-122.363742766,2016,"{""type"":""Point"",""coordinates"":[-122.363742766,37.8235744254]}",1,0,0,0,0,1,0,0,0,0,0,0,"['04TH TI ST', 'AVENUE N']",1,0,0,1,0,0
POINT(-122.367433795 37.8078191921),37.8078191921,-122.367433795,2014,"{""type"":""Point"",""coordinates"":[-122.367433795,37.8078191921]}",0,1,0,0,0,0,1,0,0,0,0,0,"['I-80 W ON RAMP', 'I-80 WESTBOUND']",0,1,0,0,1,0
POINT(-122.367433795 37.8078191921),37.8078191921,-122.367433795,2020,"{""type"":""Point"",""coordinates"":[-122.367433795,37.8078191921]}",0,1,0,0,0,0,1,0,0,0,0,0,"['I-80 W ON RAMP', 'I-80 WESTBOUND']",0,1,0,0,1,0
POINT(-122.367433795 37.8078191921),37.8078191921,-122.367433795,2022,"{""type"":""Point"",""coordinates"":[-122.367433795,37.8078191921]}",0,1,0,0,0,0,1,0,0,0,0,0,"['I-80 W ON RAMP', 'I-80 WESTBOUND']",0,1,0,0,1,0
POINT(-122.369060911 37.8187490198),37.8187490198,-122.369060911,2007,"{""type"":""Point"",""coordinates"":[-122.369060911,37.8187490198]}",1,0,0,0,0,1,0,0,0,0,0,0,"['AVENUE D', 'CALIFORNIA AVE']",1,0,0,1,0,0
POINT(-122.369540922 37.7294740253),37.7294740253,-122.369540922,2015,"{""type"":""Point"",""coordinates"":[-122.369540922,37.7294740253]}",0,1,0,0,0,0,1,0,0,0,0,0,"['DONAHUE ST', 'HUDSON AVE']",0,1,0,0,1,0
POINT(-122.369976638 37.8252699445),37.8252699445,-122.369976638,2018,"{""type"":""Point"",""coordinates"":[-122.369976638,37.8252699445]}",0,1,0,0,0,0,0,1,0,0,0,0,"['09TH TI ST', 'AVENUE H']",0,1,0,0,0,1
POINT(-122.369976638 37.8252699445),37.8252699445,-122.369976638,2019,"{""type"":""Point"",""coordinates"":[-122.369976638,37.8252699445]}",0,1,0,0,0,0,0,1,0,0,0,0,"['09TH TI ST', 'AVENUE H']",0,1,0,0,0,1
POINT(-122.370145384 37.7288061449),37.7288061449,-122.370145384,2014,"{""type"":""Point"",""coordinates"":[-122.370145384,37.7288061449]}",0,1,0,0,0,0,1,0,0,0,0,0,"['DONAHUE ST', 'INNES AVE']",0,1,0,0,1,0
POINT(-122.370145384 37.7288061449),37.7288061449,-122.370145384,2018,"{""type"":""Point"",""coordinates"":[-122.370145384,37.7288061449]}",0,1,0,0,0,0,1,0,0,0,0,0,"['DONAHUE ST', 'INNES AVE']",0,1,0,0,1,0
POINT(-122.370145384 37.7288061449),37.7288061449,-122.370145384,2022,"{""type"":""Point"",""coordinates"":[-122.370145384,37.7288061449]}",0,1,0,0,0,0,1,0,0,0,0,0,"['DONAHUE ST', 'INNES AVE']",0,1,0,0,1,0
POINT(-122.37038772 37.8181870341),37.8181870341,-122.37038772,2006,"{""type"":""Point"",""coordinates"":[-122.37038772,37.8181870341]}",0,1,0,0,0,0,0,1,0,0,0,0,"['AVENUE C', 'CALIFORNIA AVE']",0,1,0,0,0,1
POINT(-122.37038772 37.8181870341),37.8181870341,-122.37038772,2012,"{""type"":""Point"",""coordinates"":[-122.37038772,37.8181870341]}",0,1,0,0,0,0,0,1,0,0,0,0,"['AVENUE C', 'CALIFORNIA AVE']",0,1,0,0,0,1
POINT(-122.37038772 37.8181870341),37.8181870341,-122.37038772,2016,"{""type"":""Point"",""coordinates"":[-122.37038772,37.8181870341]}",0,1,0,0,0,0,0,1,0,0,0,0,"['AVENUE C', 'CALIFORNIA AVE']",0,1,0,0,0,1
POINT(-122.371031538 37.813223805),37.813223805,-122.371031538,2020,"{""type"":""Point"",""coordinates"":[-122.371031538,37.813223805]}",1,0,0,0,1,0,0,0,0,0,0,0,"['AVENUE OF THE PALMS', 'MACALLA RD', 'TREASURE ISLAND RD']",1,0,1,0,0,0
